PORTO;REGIÃO;AUTORIDADE PORTUARIA;TIPO;VIA;ESTADO
PORTO DE ANGRA DOS REIS;REGIÃO SUDESTE;CDRJ;PORTOS PUBLICOS;MARITIMO;RIO DE JANEIRO
PORTO DE ANTONINA;REGIÃO SUL;APPA;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;PARANAGUÁ
PORTO DE ARATU;REGIÃO NORDESTE;CODEBA;PORTOS PUBLICOS;MARITIMO;BAHIA
PORTO DE AREIA BRANCA;REGIÃO NORDESTE;CODERN;PORTOS PUBLICOS;MARITIMO;RIO GRANDE DO NORTE
PORTO DE BARRA DO RIACHO;REGIÃO SUDESTE;CODESA;PORTOS PUBLICOS;MARITIMO;ESPIRITO SANTO
PORTO DE BELÉM;REGIÃO NORTE;CDP;PORTOS PUBLICOS;MARITIMO;BELÉM
PORTO DE CABEDELO;REGIÃO NORDESTE;DOCAS-PB;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;PARAIBA
PORTO DE FORTALEZA;REGIÃO NORDESTE;CDC;PORTOS PUBLICOS;MARITIMO;FORTALEZA
PORTO DE ILHEUS;REGIÃO NORDESTE;CODEBA;PORTOS PUBLICOS;MARITIMO;BAHIA
PORTO DE IMBITUBA;REGIÃO SUL;SCPAR;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;SANTA CATARINA
PORTO DE ITAGUAÍ;REGIÃO SUDESTE;CDRJ;PORTOS PUBLICOS;MARITIMO;RIO DE JANEIRO
PORTO DE ITAJAÍ;REGIÃO SUL;SPI;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;SANTA CATARINA
PORTO DE ITAQUI;REGIÃO NORDESTE;EMAP;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;MARANHÃO
PORTO DE LAGUNA;REGIÃO SUL;SCPAR;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;SANTA CATARINA
PORTO DE MACAPÁ;REGIÃO NORTE;CDSA;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;AMAPÁ
PORTO DE MACEIÓ;REGIÃO NORDESTE;CODERN;PORTOS PUBLICOS;MARITIMO;RIO GRANDE DO NORTE
PORTO DE MANAUS;REGIÃO NORTE;SNPH;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;AMAZONAS
PORTO DE NATAL;REGIÃO NORDESTE;CODERN;PORTOS PUBLICOS;MARITIMO;RIO GRANDE DO NORTE
PORTO DE NITERÓI;REGIÃO SUDESTE;CDRJ;PORTOS PUBLICOS;MARITIMO;RIO DE JANEIRO
PORTO DE PARANAGUÁ;REGIÃO SUL;APPA;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;PARANAGUÁ
PORTO DE PELOTAS;REGIÃO SUL;PORTO RS;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;RIO GRANDE DO SUL
PORTO DE PORTO ALEGRE;REGIÃO SUL;PORTO RS;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;RIO GRANPORTO DO SUL
PORTO DE RIO GRANDE;REGIÃO SUL;PORTO RS;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;RIO GRANRIO DO SUL
PORTO DE SALVADOR;REGIÃO NORDESTE;NONE;PORTOS PUBLICOS;MARITIMO;BAHIA
PORTO DE SANTARÉM;REGIÃO NORTE;CDP;PORTOS PUBLICOS;MARITIMO;PARÁ
PORTO DE SANTOS;REGIÃO SUDESTE;SPA;PORTOS PUBLICOS;MARITIMO;SÃO PAULO
PORTO DE SÃO FRANCISCO DO SUL;REGIÃO SUL;SCPAR;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;SANTA CATARINA
PORTO DE SÃO SEBASTIÃO;REGIÃO SUDESTE;CDSS;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;SÃO PAULO
PORTO DE SUAPE;REGIÃO NORDESTE;SUAPE;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;PERNAMBUCO
PORTO DE VILA DO CONDE;REGIÃO NORTE;CDP;PORTOS PUBLICOS;MARITIMO;PARÁ
PORTO DE VITÓRIA;REGIÃO SUDESTE;CODESA;PORTOS PUBLICOS;MARITIMO;ESPIRITO SANTO
PORTO DO FORNO;REGIÃO SUDESTE;COMAP;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;RIO DE JANEIRO
PORTO DO RECIFE;REGIÃO NORDESTE;PORTO DO RECIFE S.A.;PORTOS ORGANIZADOS DELEGADOS;MARITIMO;PERNAMBUCO
PORTO DO RIO DE JANEIRO;REGIÃO SUDESTE;CDRJ;PORTOS PUBLICOS;MARITIMO;RIO DE JANEIRO
PORTO DE TATOOINE;REGIÃO ORLA EXTERIOR;HUTT;ESTELAR;AEREA;TAT
